-1.732, -3.933, 8.595
-1.687, -3.966, 8.621
-1.642, -3.999, 8.646
-1.596, -4.031, 8.671
-1.550, -4.062, 8.696
-1.503, -4.093, 8.721
-1.455, -4.124, 8.746
-1.408, -4.154, 8.771
-1.359, -4.183, 8.796
-1.310, -4.212, 8.822
-1.261, -4.240, 8.847
-1.211, -4.267, 8.872
-1.160, -4.294, 8.897
-1.109, -4.321, 8.922
-1.058, -4.347, 8.947
-1.006, -4.372, 8.972
-0.954, -4.396, 8.998
-0.901, -4.420, 9.023
-0.848, -4.444, 9.048
-0.794, -4.466, 9.073
-0.740, -4.488, 9.098
-0.685, -4.510, 9.123
-0.630, -4.531, 9.148
-0.575, -4.551, 9.173
-0.519, -4.570, 9.199
-0.463, -4.589, 9.224
-0.406, -4.607, 9.249
-0.349, -4.624, 9.274
-0.292, -4.640, 9.299
-0.234, -4.656, 9.324
-0.176, -4.671, 9.349
-0.118, -4.686, 9.375
-0.059, -4.699, 9.400
0.000, -4.712, 9.425
0.059, -4.725, 9.450
0.119, -4.736, 9.475
0.179, -4.747, 9.500
0.239, -4.757, 9.525
0.300, -4.766, 9.550
0.361, -4.774, 9.576
0.422, -4.782, 9.601
0.483, -4.789, 9.626
0.545, -4.795, 9.651
0.606, -4.800, 9.676
0.668, -4.804, 9.701
0.731, -4.808, 9.726
0.793, -4.811, 9.752
0.856, -4.813, 9.777
0.918, -4.814, 9.802
0.981, -4.814, 9.827
1.044, -4.814, 9.852
1.108, -4.813, 9.877
1.171, -4.811, 9.902
1.234, -4.808, 9.927
1.298, -4.804, 9.953
1.362, -4.799, 9.978
1.426, -4.794, 10.003
1.489, -4.788, 10.028
1.553, -4.781, 10.053
1.617, -4.773, 10.078
1.681, -4.764, 10.103
1.745, -4.754, 10.128
1.809, -4.743, 10.154
1.874, -4.732, 10.179
1.938, -4.720, 10.204
2.002, -4.707, 10.229
2.066, -4.693, 10.254
2.130, -4.678, 10.279
2.194, -4.662, 10.304
2.258, -4.645, 10.330
2.321, -4.628, 10.355
2.385, -4.609, 10.380
2.449, -4.590, 10.405
2.512, -4.570, 10.430
2.576, -4.549, 10.455
2.639, -4.527, 10.480
2.702, -4.504, 10.505
2.765, -4.481, 10.531
2.828, -4.456, 10.556
2.891, -4.431, 10.581
2.953, -4.405, 10.606
3.015, -4.378, 10.631
3.077, -4.350, 10.656
3.139, -4.321, 10.681
3.201, -4.291, 10.707
3.262, -4.260, 10.732
3.323, -4.229, 10.757
3.384, -4.197, 10.782
3.444, -4.163, 10.807
3.505, -4.129, 10.832
3.564, -4.095, 10.857
3.624, -4.059, 10.882
3.683, -4.022, 10.908
3.742, -3.985, 10.933
3.800, -3.947, 10.958
3.859, -3.907, 10.983
3.916, -3.867, 11.008
3.974, -3.827, 11.033
4.031, -3.785, 11.058
4.087, -3.743, 11.084
4.143, -3.699, 11.109
4.199, -3.655, 11.134
4.254, -3.610, 11.159
4.309, -3.564, 11.184
4.363, -3.518, 11.209
4.417, -3.471, 11.234
